,Model.farm_code,Model.farm_name,Model.examin_datetm,Model.avg_prbrd,Model.avg_lgdiamtr,Model.avg_frut_wt,Model.avg_flsh_wgh,Model.avg_flsh_rate,Model.avg_frsk_one,Model.avg_brx,Model.avg_prcn,Model.avg_brx_prcn_rate,과일
0,01,용흥,2016-08-01,37.5,33.8,24.8,16.6,66.7,2.6,8.5,3.6,2.4,감귤
1,01,용흥,2016-08-16,41.3,36.7,33.2,24.2,72.9,2.4,9.2,3.2,2.9,감귤
2,01,용흥,2016-09-01,46.5,40.2,46.2,35.9,77.6,2.3,8.9,2.4,3.9,감귤
3,01,용흥,2016-09-20,53.1,44.4,68.2,56.2,82.2,1.8,8.7,1.5,5.7,감귤
4,01,용흥,2016-10-04,55.9,45.4,77.8,65.3,83.9,1.7,8.9,0.9,9.5,감귤
5,01,용흥,2016-10-17,59.0,45.7,90.8,76.5,84.2,1.8,9.5,0.8,12.5,감귤
6,01,용흥,2016-11-03,62.6,54.5,109.1,90.2,82.7,2.2,9.6,0.7,13.4,감귤
7,01,용흥,2016-11-14,65.2,54.8,121.4,97.7,80.6,2.5,10.3,0.7,15.7,감귤
8,02,성산,2016-08-01,39.4,34.5,27.4,18.2,66.6,2.7,6.5,3.5,1.9,감귤
9,02,성산,2016-08-16,40.8,35.3,31.1,22.9,73.4,2.1,8.2,3.0,2.8,감귤
10,02,성산,2016-09-01,45.0,37.6,39.5,30.3,76.7,2.4,8.4,2.3,3.7,감귤
11,02,성산,2016-09-20,51.8,42.7,63.9,51.6,80.8,1.9,8.4,1.4,5.9,감귤
12,02,성산,2016-10-04,54.2,43.7,69.6,58.7,84.4,1.6,8.3,1.0,8.0,감귤
13,02,성산,2016-10-17,58.6,45.8,84.2,70.8,83.9,1.9,8.5,0.9,9.6,감귤
14,02,성산,2016-11-03,60.1,46.2,85.6,70.8,82.6,2.2,9.2,0.8,11.4,감귤
15,02,성산,2016-11-14,60.0,47.7,93.8,77.2,82.1,2.3,9.5,0.7,13.2,감귤
16,04,토산,2016-08-01,40.5,36.8,29.9,19.1,63.9,3.1,6.8,3.6,1.9,감귤
17,04,토산,2016-08-16,45.7,40.4,44.2,30.3,69.2,2.8,7.0,2.9,2.4,감귤
18,04,토산,2016-09-01,49.8,42.9,54.6,42.7,78.1,2.4,7.4,2.2,3.4,감귤
19,04,토산,2016-09-20,55.7,46.1,75.9,62.6,82.5,2.1,7.7,1.5,5.2,감귤
20,04,토산,2016-10-04,57.9,47.2,84.5,71.6,84.6,1.8,7.5,1.0,7.9,감귤
21,04,토산,2016-10-17,60.9,46.5,91.8,77.3,84.2,1.9,8.3,0.9,9.3,감귤
22,04,토산,2016-11-03,61.9,48.8,100.1,83.7,83.6,2.0,8.6,0.7,11.9,감귤
23,04,토산,2016-11-14,66.1,51.3,118.7,97.2,81.8,2.5,8.9,0.7,13.6,감귤
24,06,아라,2016-08-01,37.7,35.2,25.7,16.5,64.1,3.0,8.6,4.2,2.1,감귤
25,06,아라,2016-08-16,42.0,38.2,35.4,25.9,73.3,2.4,8.7,3.6,2.5,감귤
26,06,아라,2016-09-01,46.2,40.8,45.3,34.8,76.8,2.5,9.5,2.9,3.3,감귤
27,06,아라,2016-09-20,54.4,46.3,72.0,58.4,81.1,2.1,9.0,1.7,5.3,감귤
28,06,아라,2016-10-04,58.3,46.5,85.0,70.2,82.7,1.8,9.3,1.1,8.5,감귤
29,06,아라,2016-10-17,61.1,47.9,91.1,74.4,81.4,2.1,9.6,0.9,10.7,감귤
30,06,아라,2016-11-03,60.1,48.4,92.3,74.7,80.9,2.5,10.2,0.8,13.6,감귤
31,06,아라,2016-11-14,62.2,49.3,100.3,80.4,80.1,2.5,10.5,0.7,16.0,감귤
32,07,무릉,2016-08-01,36.8,33.7,23.2,14.4,62.1,3.1,7.3,4.1,1.8,감귤
33,07,무릉,2016-08-16,42.4,37.6,33.8,24.5,72.4,2.7,7.5,3.5,2.2,감귤
34,07,무릉,2016-09-01,45.6,40.6,44.1,33.1,75.1,2.5,8.4,3.1,2.7,감귤
35,07,무릉,2016-09-20,51.7,43.0,60.3,48.7,80.7,2.2,8.5,1.9,4.5,감귤
36,07,무릉,2016-10-04,55.5,45.4,74.2,61.1,82.4,1.7,9.0,1.4,6.6,감귤
37,07,무릉,2016-10-17,57.6,43.7,81.0,67.0,82.6,1.9,9.6,1.2,8.3,감귤
38,07,무릉,2016-11-03,59.0,47.4,88.8,71.8,80.8,2.2,10.0,0.9,10.8,감귤
39,07,무릉,2016-11-14,59.2,47.3,90.0,72.2,80.1,2.5,10.7,0.9,12.7,감귤
40,09,하원,2016-08-01,38.8,34.7,27.5,19.2,69.5,2.6,7.9,3.5,2.2,감귤
41,09,하원,2016-08-16,43.7,38.5,38.3,28.5,74.4,2.4,8.1,2.7,3.0,감귤
42,09,하원,2016-09-01,43.9,37.7,39.7,30.9,77.7,2.2,9.0,2.4,3.7,감귤
43,09,하원,2016-09-20,50.8,42.9,60.3,49.2,81.4,2.0,8.8,1.4,6.3,감귤
44,09,하원,2016-10-04,55.5,45.1,75.3,62.4,82.9,1.7,8.8,1.1,8.0,감귤
45,09,하원,2016-10-17,56.2,43.8,80.9,67.5,83.4,1.9,9.4,0.9,10.5,감귤
46,09,하원,2016-11-03,58.5,47.5,88.8,72.6,81.5,2.0,9.7,0.8,11.5,감귤
47,09,하원,2016-11-14,58.6,46.4,89.1,71.8,80.6,2.4,10.3,0.7,14.2,감귤
48,12,덕천,2016-08-01,36.7,33.8,23.1,15.0,64.9,2.9,7.1,4.1,1.7,감귤
49,12,덕천,2016-08-16,40.0,35.3,29.8,22.3,74.9,2.0,7.7,3.3,2.3,감귤
50,12,덕천,2016-09-01,44.5,39.6,40.2,31.5,78.2,2.3,7.8,2.7,2.9,감귤
51,12,덕천,2016-09-20,50.2,42.9,58.7,48.4,82.5,1.8,8.0,1.8,4.6,감귤
52,12,덕천,2016-10-04,56.2,45.9,77.2,64.5,83.6,1.6,7.9,1.3,6.1,감귤
53,12,덕천,2016-10-17,57.4,45.6,78.2,65.3,83.5,1.7,8.1,1.1,7.5,감귤
54,12,덕천,2016-11-03,58.1,47.6,86.5,70.6,81.7,2.0,8.9,1.0,8.8,감귤
55,12,덕천,2016-11-14,60.1,47.8,92.1,74.7,81.1,2.4,9.1,0.8,11.4,감귤
56,14,신촌,2016-08-01,41.1,37.3,31.3,21.0,67.2,3.2,6.9,3.5,2.0,감귤
57,14,신촌,2016-08-16,44.7,40.4,41.0,30.3,73.9,2.4,7.2,2.9,2.5,감귤
58,14,신촌,2016-09-01,48.6,42.2,51.3,40.8,79.5,2.2,7.4,2.4,3.1,감귤
59,14,신촌,2016-09-20,55.9,47.6,79.6,65.4,82.3,2.1,7.6,1.7,4.5,감귤
60,14,신촌,2016-10-04,58.4,48.2,89.2,75.0,84.1,1.7,7.5,1.1,6.8,감귤
61,14,신촌,2016-10-17,61.1,48.3,94.6,79.4,84.0,1.9,7.9,1.0,8.0,감귤
62,14,신촌,2016-11-03,61.6,49.5,103.0,85.8,83.5,2.1,8.3,0.8,10.2,감귤
63,14,신촌,2016-11-14,64.4,50.0,117.0,96.0,81.8,2.5,9.2,1.0,9.6,감귤
64,16,금악,2016-08-01,38.1,34.9,25.8,17.3,67.1,3.1,7.3,4.2,1.8,감귤
65,16,금악,2016-08-16,42.7,38.9,35.6,25.5,71.7,2.7,7.3,3.1,2.4,감귤
66,16,금악,2016-09-01,45.9,40.9,45.2,34.6,76.5,2.4,7.8,2.6,3.0,감귤
67,16,금악,2016-09-20,52.1,44.5,63.9,52.0,81.5,2.0,8.3,1.5,5.8,감귤
68,16,금악,2016-10-04,55.5,46.2,74.1,60.6,82.0,1.8,8.9,1.0,8.7,감귤
69,16,금악,2016-10-17,58.4,45.4,83.5,68.4,82.0,2.2,9.4,0.9,10.6,감귤
70,16,금악,2016-11-03,61.0,49.1,94.7,76.2,80.5,2.4,10.1,0.8,13.1,감귤
71,16,금악,2016-11-14,60.8,49.3,97.3,76.2,78.3,2.7,10.4,0.7,14.5,감귤
72,26,하례,2016-08-01,39.9,36.2,28.6,17.7,61.8,3.9,6.4,3.8,1.7,감귤
73,26,하례,2016-08-16,44.8,39.9,40.2,28.2,70.0,3.0,6.9,3.2,2.2,감귤
74,26,하례,2016-09-01,48.4,42.4,51.2,38.8,75.9,2.6,7.2,2.8,2.6,감귤
75,26,하례,2016-09-20,57.9,49.0,86.6,70.1,81.1,2.2,7.4,1.9,4.1,감귤
76,26,하례,2016-10-04,58.0,46.5,86.1,70.6,82.0,2.0,7.6,1.4,5.8,감귤
77,26,하례,2016-10-17,63.7,49.5,104.5,85.8,82.2,2.2,7.7,1.0,7.9,감귤
78,26,하례,2016-11-03,64.9,51.3,112.2,91.3,81.3,2.3,8.2,0.8,9.8,감귤
79,26,하례,2016-11-14,66.1,53.2,122.5,98.0,80.1,2.8,8.9,0.8,11.8,감귤
80,29,창천,2016-08-01,40.3,36.2,30.2,20.6,68.2,2.8,7.1,4.0,1.8,감귤
81,29,창천,2016-08-16,45.2,40.4,42.3,31.1,73.5,2.6,7.0,3.1,2.2,감귤
82,29,창천,2016-09-01,48.2,42.6,52.9,41.1,77.5,2.6,7.8,2.8,2.8,감귤
83,29,창천,2016-09-20,55.1,46.0,74.5,62.1,83.4,1.9,8.1,1.7,4.9,감귤
84,29,창천,2016-10-04,58.7,47.6,88.6,74.0,83.5,1.7,8.6,1.2,7.3,감귤
85,29,창천,2016-10-17,60.4,45.9,95.0,79.8,83.7,1.9,9.1,1.0,8.9,감귤
86,29,창천,2016-11-03,61.7,50.2,103.4,85.4,82.6,2.2,10.1,0.9,10.8,감귤
87,29,창천,2016-11-14,62.6,51.1,110.7,90.5,81.9,2.4,10.2,0.8,12.4,감귤
88,30,덕수,2016-08-01,39.8,37.2,29.8,20.0,67.1,2.9,7.2,3.8,1.9,감귤
89,30,덕수,2016-08-16,44.9,40.8,41.9,31.5,75.2,2.4,7.4,2.9,2.6,감귤
90,30,덕수,2016-09-01,46.2,41.2,46.8,36.4,77.8,2.3,8.2,2.5,3.2,감귤
91,30,덕수,2016-09-20,52.4,45.8,65.4,52.9,80.9,2.1,8.4,1.6,5.5,감귤
92,30,덕수,2016-10-04,56.0,46.5,77.3,64.3,83.1,1.9,8.6,1.2,7.1,감귤
93,30,덕수,2016-10-17,56.6,44.8,80.9,66.4,81.9,2.0,9.1,1.1,8.3,감귤
94,30,덕수,2016-11-03,58.3,48.9,88.1,71.1,80.6,2.3,9.5,1.0,9.3,감귤
95,30,덕수,2016-11-14,57.6,48.3,87.2,71.5,82.0,2.2,9.1,1.0,9.1,감귤
96,31,신효,2016-08-01,38.2,34.8,26.1,17.6,67.3,2.7,7.1,3.1,2.4,감귤
97,31,신효,2016-08-16,42.4,37.5,35.2,26.3,74.9,2.4,7.6,2.4,3.2,감귤
98,31,신효,2016-09-01,45.7,39.3,44.1,34.7,78.8,2.2,8.6,1.9,4.8,감귤
99,31,신효,2016-09-20,51.1,43.0,60.5,50.1,82.8,1.8,8.7,1.4,6.6,감귤
100,31,신효,2016-10-04,55.6,44.5,74.2,63.7,86.0,1.4,9.0,0.9,10.4,감귤
101,31,신효,2016-10-17,60.6,47.2,92.0,77.7,84.3,1.8,9.5,0.7,13.4,감귤
102,31,신효,2016-11-03,60.4,47.2,88.2,73.9,83.7,1.9,10.0,0.7,14.5,감귤
103,31,신효,2016-11-14,62.2,49.2,102.2,84.3,82.3,2.2,10.5,0.6,16.6,감귤
104,32,신흥,2016-08-01,37.6,34.8,24.7,15.7,63.3,3.4,6.7,3.4,2.0,감귤
105,32,신흥,2016-08-16,41.7,38.4,34.1,24.1,70.8,2.7,7.0,2.6,2.8,감귤
106,32,신흥,2016-09-01,45.6,40.3,43.9,34.2,77.7,2.4,8.1,2.2,3.8,감귤
107,32,신흥,2016-09-20,51.4,44.5,62.9,51.8,82.3,2.0,8.3,1.4,5.9,감귤
108,32,신흥,2016-10-04,58.3,47.8,86.2,73.0,84.8,1.6,8.3,1.0,8.5,감귤
109,32,신흥,2016-10-17,59.3,47.5,89.9,75.6,84.0,1.9,9.1,0.8,11.3,감귤
110,32,신흥,2016-11-03,57.7,47.7,85.7,70.9,82.7,2.1,9.8,0.7,13.2,감귤
111,32,신흥,2016-11-14,62.3,50.0,104.9,85.7,81.7,2.5,10.5,0.6,16.6,감귤
112,01,용흥,2017-08-01,38.9,35.3,27.9,18.9,67.6,3.1,9.0,3.7,2.4,감귤
113,01,용흥,2017-08-15,45.7,40.7,42.7,30.9,72.4,2.6,9.2,3.4,2.7,감귤
114,01,용흥,2017-09-01,46.3,39.3,45.4,35.4,77.9,2.1,8.7,2.7,3.3,감귤
115,01,용흥,2017-09-15,51.6,43.0,61.6,49.9,80.9,2.3,8.9,1.8,4.9,감귤
116,01,용흥,2017-10-01,55.3,44.4,78.9,65.2,82.6,1.7,9.2,1.3,7.1,감귤
117,01,용흥,2017-10-15,59.9,45.2,87.2,70.7,81.1,2.0,9.6,0.9,10.7,감귤
118,01,용흥,2017-11-01,61.7,46.4,93.1,75.8,81.4,2.2,10.1,0.8,12.1,감귤
119,01,용흥,2017-11-15,62.8,48.5,100.6,80.6,80.1,2.5,10.9,0.7,15.3,감귤
120,02,성산,2017-08-01,38.7,35.9,27.9,17.9,63.7,3.1,6.0,3.3,1.8,감귤
121,02,성산,2017-08-15,43.4,39.4,38.1,27.5,72.0,2.8,6.3,2.8,2.3,감귤
122,02,성산,2017-09-01,47.9,42.5,52.3,41.2,78.5,2.2,6.7,2.3,2.9,감귤
123,02,성산,2017-09-15,50.8,43.3,62.7,51.3,81.8,1.9,7.3,1.8,4.0,감귤
124,02,성산,2017-10-01,54.6,47.0,75.9,62.9,82.8,1.9,8.0,1.4,5.9,감귤
125,02,성산,2017-10-15,61.3,48.8,95.1,76.0,80.0,2.0,8.7,1.0,8.7,감귤
126,02,성산,2017-11-01,61.3,50.0,97.7,81.4,83.2,2.2,9.1,0.9,10.0,감귤
127,02,성산,2017-11-15,62.1,50.2,97.4,80.2,82.3,2.4,9.7,0.8,12.2,감귤
128,04,토산,2017-08-01,43.7,39.8,38.5,26.2,67.8,3.1,6.0,3.3,1.8,감귤
129,04,토산,2017-08-15,48.1,43.0,50.6,36.7,72.5,3.1,6.1,2.8,2.2,감귤
130,04,토산,2017-09-01,54.6,46.9,72.2,56.4,78.2,2.5,6.7,2.4,2.8,감귤
131,04,토산,2017-09-15,59.0,49.5,91.7,73.7,80.3,2.3,7.2,2.0,3.7,감귤
132,04,토산,2017-10-01,62.5,51.7,106.9,87.9,82.2,2.1,7.7,1.5,5.4,감귤
133,04,토산,2017-10-15,69.0,52.9,127.5,105.4,82.8,2.3,8.4,1.0,8.4,감귤
134,04,토산,2017-11-01,68.3,53.7,126.0,103.1,81.9,2.5,8.9,0.9,9.7,감귤
135,06,아라,2017-08-01,36.2,34.6,23.8,15.1,63.2,2.8,10.9,4.1,2.6,감귤
136,06,아라,2017-08-15,41.3,39.1,33.4,23.3,69.7,2.6,9.6,3.6,2.7,감귤
137,06,아라,2017-09-01,46.5,42.5,48.1,36.8,76.5,2.1,8.7,3.0,3.0,감귤
138,06,아라,2017-09-15,51.9,46.4,66.4,52.5,79.2,2.3,8.6,2.2,3.9,감귤
139,06,아라,2017-10-01,56.1,47.2,78.5,63.7,81.3,2.0,8.9,1.5,6.3,감귤
140,06,아라,2017-10-15,61.4,48.3,92.8,76.1,82.0,2.1,9.0,1.0,9.1,감귤
141,06,아라,2017-11-01,63.0,50.4,101.3,83.4,82.4,2.3,9.8,0.8,12.0,감귤
142,06,아라,2017-11-15,65.0,51.7,111.3,87.9,79.0,2.8,10.1,0.7,14.2,감귤
143,07,무릉,2017-08-01,40.5,37.9,30.8,19.0,61.6,3.8,7.7,0.0,0.0,감귤
144,07,무릉,2017-08-15,46.1,42.2,44.1,31.5,71.5,2.7,7.4,3.3,2.2,감귤
145,07,무릉,2017-09-01,50.7,45.3,61.2,47.4,77.5,2.2,7.2,2.7,2.7,감귤
146,07,무릉,2017-09-15,57.1,49.0,80.9,62.7,77.5,3.1,7.7,2.0,3.9,감귤
147,07,무릉,2017-10-01,61.6,51.4,101.8,81.9,80.4,2.2,8.3,1.3,6.3,감귤
148,07,무릉,2017-10-15,66.5,52.7,113.3,88.8,78.3,2.9,8.5,1.0,8.8,감귤
149,07,무릉,2017-11-01,67.9,53.8,118.8,92.9,78.2,2.9,9.1,0.9,10.7,감귤
150,07,무릉,2017-11-15,69.6,55.1,125.0,92.8,74.2,3.2,9.3,0.7,13.0,감귤
151,09,하원,2017-08-01,39.6,36.1,29.6,20.0,67.6,3.0,7.8,3.7,2.1,감귤
152,09,하원,2017-08-15,44.0,39.8,39.4,29.2,74.0,2.5,7.8,3.0,2.6,감귤
153,09,하원,2017-09-01,47.8,41.5,53.0,42.1,79.4,2.0,7.8,2.4,3.4,감귤
154,09,하원,2017-09-15,53.3,44.2,68.0,55.3,81.4,2.4,8.2,1.8,4.7,감귤
155,09,하원,2017-10-01,55.5,44.8,78.0,64.1,82.3,1.6,8.8,1.3,7.2,감귤
156,09,하원,2017-10-15,61.0,47.3,92.9,76.1,82.2,2.1,9.0,0.9,9.8,감귤
157,09,하원,2017-11-01,63.1,49.1,102.8,84.0,81.8,2.4,9.5,0.8,11.7,감귤
158,09,하원,2017-11-15,61.0,47.5,93.5,75.5,80.8,2.5,10.4,0.8,13.5,감귤
159,12,덕천,2017-08-01,40.2,37.3,30.2,19.9,65.9,3.0,6.9,3.8,1.9,감귤
160,12,덕천,2017-08-15,44.4,40.9,40.6,29.1,71.5,2.7,6.6,3.4,2.0,감귤
161,12,덕천,2017-09-01,49.4,44.4,57.9,44.4,76.7,2.4,7.0,2.8,2.5,감귤
162,12,덕천,2017-09-15,53.6,45.5,70.1,56.6,80.9,2.1,7.4,2.2,3.5,감귤
163,12,덕천,2017-10-01,59.8,51.6,95.6,76.8,80.4,2.3,8.0,1.7,4.9,감귤
164,12,덕천,2017-10-15,65.8,53.6,117.2,93.8,80.1,2.5,8.2,1.2,6.8,감귤
165,12,덕천,2017-11-01,67.4,54.1,121.4,97.4,80.2,2.6,8.5,0.9,9.4,감귤
166,14,신촌,2017-08-01,41.2,38.8,34.2,22.6,66.0,2.9,7.8,3.9,2.0,감귤
167,14,신촌,2017-08-15,44.5,41.5,41.6,29.3,70.5,3.0,7.6,3.4,2.3,감귤
168,14,신촌,2017-09-01,49.8,44.9,58.9,45.6,77.6,2.4,8.1,2.9,2.8,감귤
169,14,신촌,2017-09-15,55.1,48.5,77.4,61.8,80.0,2.4,8.2,2.4,3.5,감귤
170,14,신촌,2017-10-01,59.5,50.6,94.3,76.2,80.8,2.2,8.6,1.6,5.8,감귤
171,14,신촌,2017-10-15,65.2,52.1,109.9,89.6,81.6,2.3,8.7,1.1,8.1,감귤
172,14,신촌,2017-11-01,66.7,53.3,124.4,100.7,81.0,2.6,9.0,0.9,9.8,감귤
173,14,신촌,2017-11-15,68.0,55.0,129.8,93.4,71.9,2.9,9.6,0.9,11.0,감귤
174,16,금악,2017-08-01,34.1,32.0,19.8,12.1,60.9,2.9,8.7,3.9,2.2,감귤
175,16,금악,2017-08-15,46.4,43.6,46.5,30.9,66.5,3.2,8.5,2.9,3.0,감귤
176,16,금악,2017-09-01,46.1,41.4,47.5,36.7,77.3,2.2,8.1,2.9,2.8,감귤
177,16,금악,2017-09-15,54.7,49.2,73.9,56.8,76.9,3.4,8.0,2.2,3.6,감귤
178,16,금악,2017-10-01,56.5,45.7,82.5,67.0,81.2,1.7,8.7,1.4,6.0,감귤
179,16,금악,2017-10-15,63.6,49.9,102.7,83.7,81.5,2.3,8.8,1.3,6.9,감귤
180,16,금악,2017-11-01,64.9,49.7,108.1,87.2,80.7,2.5,9.6,0.9,10.7,감귤
181,16,금악,2017-11-15,66.7,52.5,112.5,90.3,80.3,2.6,10.2,0.7,13.8,감귤
182,26,하례,2017-08-01,41.7,39.8,34.6,22.7,65.5,3.3,5.9,3.5,1.7,감귤
183,26,하례,2017-08-15,45.5,42.3,44.2,31.5,71.7,2.7,6.3,3.3,1.9,감귤
184,26,하례,2017-09-01,50.9,46.3,61.8,47.0,76.1,2.5,6.5,2.7,2.4,감귤
185,26,하례,2017-09-15,54.5,47.9,73.8,59.0,79.8,2.5,6.9,2.2,3.2,감귤
186,26,하례,2017-10-01,58.8,51.1,94.1,75.3,79.9,2.3,7.5,1.6,4.8,감귤
187,26,하례,2017-10-15,65.3,53.1,109.7,89.3,81.4,2.5,7.7,1.3,6.1,감귤
188,26,하례,2017-11-01,65.7,54.4,115.8,92.8,80.1,2.7,8.6,1.1,7.9,감귤
189,26,하례,2017-11-15,67.3,54.5,117.9,93.8,79.5,2.8,9.2,1.0,9.3,감귤
190,29,창천,2017-08-01,40.3,37.7,31.2,21.1,67.3,2.9,6.9,3.6,1.9,감귤
191,29,창천,2017-08-15,44.0,40.1,39.4,28.6,72.8,2.4,6.9,3.1,2.2,감귤
192,29,창천,2017-09-01,48.8,43.8,55.4,44.7,80.6,1.9,7.2,2.4,3.0,감귤
193,29,창천,2017-09-15,53.8,46.3,70.3,57.2,81.4,2.5,7.8,1.8,4.3,감귤
194,29,창천,2017-10-01,57.0,47.7,86.6,70.8,81.7,1.8,8.5,1.3,6.4,감귤
195,29,창천,2017-10-15,63.3,50.0,101.4,83.8,82.6,2.2,8.9,1.0,9.1,감귤
196,29,창천,2017-11-01,62.5,50.5,102.8,84.3,81.9,2.3,9.4,0.9,10.5,감귤
197,29,창천,2017-11-15,61.8,50.3,99.3,81.1,81.5,2.5,10.1,0.9,12.1,감귤
198,30,덕수,2017-08-01,40.7,38.8,32.0,20.7,64.8,3.3,7.2,3.9,1.9,감귤
199,30,덕수,2017-08-15,43.7,40.3,39.1,28.6,73.2,2.5,7.6,3.6,2.1,감귤
200,30,덕수,2017-09-01,48.9,44.2,56.2,44.3,79.0,2.1,7.6,3.1,2.5,감귤
201,30,덕수,2017-09-15,55.4,47.7,75.8,61.5,81.2,2.1,8.0,2.4,3.4,감귤
202,30,덕수,2017-10-01,57.7,48.5,88.1,71.8,81.5,1.8,8.8,1.8,4.9,감귤
203,30,덕수,2017-10-15,64.4,50.6,106.3,87.7,82.4,2.2,9.2,1.3,7.2,감귤
204,30,덕수,2017-11-01,63.0,51.2,103.2,84.2,81.6,2.3,9.6,1.1,8.4,감귤
205,30,덕수,2017-11-15,63.5,51.3,106.3,86.5,81.4,2.5,10.2,1.1,9.7,감귤
206,31,신효,2017-08-01,40.1,36.3,30.4,21.4,70.5,2.5,7.0,3.2,2.2,감귤
207,31,신효,2017-08-15,45.1,39.8,42.3,33.1,78.2,2.1,7.5,2.8,2.7,감귤
208,31,신효,2017-09-01,49.1,42.1,54.8,44.6,81.5,1.8,7.8,2.2,3.6,감귤
209,31,신효,2017-09-15,52.3,44.7,67.8,56.6,83.4,2.0,8.5,1.5,5.6,감귤
210,31,신효,2017-10-01,57.0,47.6,85.4,70.9,83.2,1.8,9.0,1.1,8.2,감귤
211,31,신효,2017-10-15,61.2,47.4,94.1,79.4,84.4,2.0,9.4,0.9,10.9,감귤
212,31,신효,2017-11-01,61.5,49.4,97.5,81.1,83.1,2.2,9.8,0.8,12.9,감귤
213,31,신효,2017-11-15,64.1,49.7,105.8,84.4,80.0,2.5,10.6,0.7,15.8,감귤
214,32,신흥,2017-08-01,42.4,39.2,36.1,23.5,65.2,3.3,6.3,3.1,2.1,감귤
215,32,신흥,2017-08-15,46.8,42.8,48.5,36.1,74.6,2.7,6.5,2.6,2.5,감귤
216,32,신흥,2017-09-01,49.7,44.3,58.6,46.2,78.8,2.2,6.9,2.2,3.2,감귤
217,32,신흥,2017-09-15,54.5,47.5,76.1,61.8,81.3,2.2,7.5,1.7,4.5,감귤
218,32,신흥,2017-10-01,57.7,49.2,89.1,73.8,82.8,2.1,8.4,1.2,7.3,감귤
219,32,신흥,2017-10-15,65.7,52.0,115.1,95.4,82.9,2.3,8.8,0.9,10.3,감귤
220,32,신흥,2017-11-01,65.5,51.5,112.7,93.1,82.6,2.3,9.4,0.8,11.9,감귤
221,32,신흥,2017-11-15,65.5,52.3,112.8,91.8,81.4,2.6,10.1,0.7,14.2,감귤
222,01,용흥,2018-08-01,38.6,33.6,26.2,18.6,71.8,2.5,9.0,3.5,2.6,감귤
223,01,용흥,2018-08-15,40.4,35.6,29.7,21.9,73.7,2.5,9.2,2.9,3.2,감귤
224,01,용흥,2018-09-01,47.4,40.1,48.6,39.5,81.2,1.8,8.5,2.1,4.2,감귤
225,01,용흥,2018-09-15,50.8,43.2,61.3,50.9,82.9,1.7,8.8,1.5,5.8,감귤
226,01,용흥,2018-10-01,53.2,41.4,67.1,57.1,85.2,1.5,9.5,1.3,7.7,감귤
227,01,용흥,2018-10-15,56.5,42.6,73.0,60.9,83.5,1.6,10.1,1.1,9.5,감귤
228,01,용흥,2018-11-01,55.0,41.5,78.0,64.0,82.0,1.8,10.6,0.9,11.5,감귤
229,01,용흥,2018-11-15,57.2,42.7,79.3,63.8,80.4,2.3,10.9,1.0,11.5,감귤
230,02,성산,2018-08-01,38.6,34.0,26.4,17.2,65.2,3.0,8.1,3.5,2.3,감귤
231,02,성산,2018-08-15,39.4,34.3,29.5,21.1,71.3,2.5,10.1,3.5,3.0,감귤
232,02,성산,2018-09-01,45.8,39.1,42.7,32.4,75.9,2.5,8.8,2.4,3.7,감귤
